name,price,processor_type,graphics_card,motherboard_chipset
MSI MAG Codex 5 11TC-460EU - 1TB M.2 PCIe + 1TB HDD,5990.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,
Komputronik IEM X912 [B4],23790.0,"i9-12900KF (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090  (ASUS GEFORCE RTX 3090 STRIX GAMING 24GB OC),Intel Z690  (ASUS ROG MAXIMUS Z690 HERO)
Komputronik Infinity HC712 [A04],15490.0,"i7-12700K (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3070 Ti,Intel Z690  (ASUS TUF Gaming Z690-Plus Wifi D4)
Komputronik Ultimate X711 [L1],8990.0,"i7-11700KF (3.6 GHz, 5.0 GHz Turbo, 16MB Cache, 125W)",GeForce RTX 3070 Ti,Intel Z590  (Gigabyte Z590 Gaming X)
Komputronik IEM X712 [A1],12190.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3070 Ti,Intel Z690  (ASUS TUF GAMING Z690-PLUS WIFI D4)
ASUS ROG Strix G15DK-R5800X2200 - 512GB M.2 PCIe | 32GB,6290.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
Komputronik Ultimate X912 [A3],18690.0,"i9-12900K (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090  (ASUS GeForce RTX 3090),Intel Z690  (Asus Z690-F Gaming WiFi)
MSI MAG Infinite S 10TC-090EU - 1TB M.2 PCIe + 1TB HDD,5390.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel H410
Lenovo IdeaCentre Gaming 5-14IOB6 (90RE0084PB),4699.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1660 SUPER,Intel B560
Komputronik Ultimate X912 [A4],21990.0,"i9-12900K (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090  (ASUS GeForce RTX 3090),Intel Z690  (Asus Z690-F Gaming WiFi)
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002YPB),5690.0,"7 5700G (3.8GHz, 4.6GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
Komputronik Ultimate X912 [A2],21990.0,"i9-12900K (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090  (ASUS GeForce RTX 3090),Intel Z690  (Asus Z690-F Gaming WiFi)
ASUS ROG Strix G15DK-R5800X2200 - 1TB M.2 PCIe | 32GB,6490.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
ASUS ROG Strix G15DK-R5800X2200 - 512GB M.2 PCIe | 24GB,6190.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
Komputronik IEM X912 [B3],22990.0,"i9-12900KF (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090  (ASUS GEFORCE RTX 3090 STRIX GAMING 24GB OC),Intel Z690  (ASUS ROG MAXIMUS Z690 HERO)
Komputronik IEM X912 [A3],19890.0,"i9-12900KF (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090,Intel Z690  (ASUS ROG STRIX Z690-F GAMING WIFI)
Komputronik Ultimate X912 [A1],18190.0,"i9-12900K (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090  (ASUS GeForce RTX 3090),Intel Z690  (Asus Z690-F Gaming WiFi)
Komputronik IEM X912 [A1],21690.0,"i9-12900KF (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090,Intel Z690  (ASUS ROG STRIX Z690-F GAMING WIFI)
Komputronik IEM X912 [A4],23290.0,"i9-12900KF (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090,Intel Z690  (ASUS ROG STRIX Z690-F GAMING WIFI)
MSI MAG Infinite S 10TC-090EU - 512GB M.2 PCIe + 1TB HDD | 32GB,5390.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel H410
Komputronik IEM X912 [B1],22590.0,"i9-12900KF (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090  (ASUS GEFORCE RTX 3090 STRIX GAMING 24GB OC),Intel Z690  (ASUS ROG MAXIMUS Z690 HERO)
MSI MAG Infinite S 10TC-090EU - 1TB M.2 PCIe | 32GB,5390.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel H410
Lenovo IdeaCentre Gaming 5-14IOB6 (90RE0086PB),4599.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560
Lenovo Legion T5-26IOB6 (90RT00C4PL) - 512GB M.2 PCIe | Windows 11 Home,5490.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560
Komputronik IEM X512 [A3],9490.0,"i5-12600K (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",Geforce RTX 3060,Intel Z690  (ASUS TUF GAMING Z690-PLUS WIFI D4)
Lenovo IdeaCentre Gaming 5-14IOB6 (90RE0087PB) - 512GB M.2 PCIe + 1TB HDD,5390.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560
ASUS ROG Strix G15DH-PL061T - 512GB M.2 PCIe + 1TB HDD | 32GB,5990.0,"7 3700X (3.6 GHz, 4.4 GHz Turbo, 32 MB Cache, 65W)",GeForce GTX 1660 SUPER,AMD B450
ASUS ROG Strix G15DH-PL061T - 512GB M.2 PCIe + 1TB HDD,5490.0,"7 3700X (3.6 GHz, 4.4 GHz Turbo, 32 MB Cache, 65W)",GeForce GTX 1660 SUPER,AMD B450
Lenovo Legion T5-26IOB6 (90RT00C4PL) - 512GB M.2 PCIe + 500GB M.2 PCIe,4790.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560
ASUS ROG Strix G15DH-PL061T - 512GB M.2 PCIe | 32GB,5790.0,"7 3700X (3.6 GHz, 4.4 GHz Turbo, 32 MB Cache, 65W)",GeForce GTX 1660 SUPER,AMD B450
Lenovo IdeaCentre Gaming 5-14IOB6 (90RE0085PB),4199.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1660 SUPER,Intel B560
Komputronik IEM X512 [A2],9390.0,"i5-12600K (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",Geforce RTX 3060,Intel Z690  (ASUS TUF GAMING Z690-PLUS WIFI D4)
Komputronik IEM X512 [A4],10090.0,"i5-12600K (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",Geforce RTX 3060,Intel Z690  (ASUS TUF GAMING Z690-PLUS WIFI D4)
ASUS ROG Strix GL10CS-PL145AT - 128GB M.2 PCIe + 1TB HDD | 32GB,3899.0,"i5-9400F (2.9 GHz, 4.1 GHz Turbo, 9 MB Cache, 65W)",GeForce GTX 1650,Intel B360
Komputronik IEM X512 [A1],9190.0,"i5-12600K (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",Geforce RTX 3060,Intel Z690  (ASUS TUF GAMING Z690-PLUS WIFI D4)
Komputronik Infinity HC912 [B02],22790.0,"i9-12900KF (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090,Intel Z690
MSI MAG Codex 5 11TC-460EU - 512GB M.2 PCIe + 1TB HDD | 32GB,6090.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,
ASUS ROG Strix G15DK-R5800X082T - 512GB M.2 PCIe | 32GB,7590.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
MSI MAG Codex 5 11TC-460EU - 1TB M.2 PCIe + 1TB HDD | 32GB,6490.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,
ASUS ROG Strix G15DK-R5800X2200 - 1TB M.2 PCIe | 24GB,6390.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
Komputronik IEM X712 [A3],12590.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3070 Ti,Intel Z690  (ASUS TUF GAMING Z690-PLUS WIFI D4)
ASUS ROG Strix G15DK-R5800X082T - 1TB M.2 PCIe,7590.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
Komputronik Infinity X512 [N4],8090.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ROG STRIX B660-I GAMING WIFI)
Komputronik Infinity X512 [N3],7390.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ROG STRIX B660-I GAMING WIFI)
Komputronik Infinity X512 [N2],6990.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ROG STRIX B660-I GAMING WIFI)
Komputronik Infinity X512 [N1],7090.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ROG STRIX B660-I GAMING WIFI)
Komputronik Infinity HC912 [A04],18190.0,"i9-12900 (2.4 GHz, 5.1 GHz Turbo, 30MB Cache 202W)",GeForce RTX 3080 Ti  (Asus TUF),Intel Z690  (ASUS TUF Gaming-Plus WiFi)
Komputronik Infinity HC912 [B01],20190.0,"i9-12900KF (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090,Intel Z690
ASUS ROG Strix GL10CS-PL145AT - 1TB M.2 PCIe + 1TB HDD | 32GB,4299.0,"i5-9400F (2.9 GHz, 4.1 GHz Turbo, 9 MB Cache, 65W)",GeForce GTX 1650,Intel B360
ASUS ROG Strix GL10CS-PL145AT - 500GB M.2 PCIe + 1TB HDD | 32GB,4099.0,"i5-9400F (2.9 GHz, 4.1 GHz Turbo, 9 MB Cache, 65W)",GeForce GTX 1650,Intel B360
ASUS ROG Strix GL10CS-PL159T - 512GB M.2 PCIe + 1TB HDD | 32GB,4049.0,"i5-9400F (2.9 GHz, 4.1 GHz Turbo, 9 MB Cache, 65W)",GeForce GTX 1650,Intel B360
ASUS ROG Huracan G21CN-D-PL003AT - 500GB M.2 PCie,4049.0,"i5-9400F (2.9 GHz, 4.1 GHz Turbo, 9 MB Cache, 65W)",GeForce GTX 1660 Ti,Intel H370
Lenovo IdeaCentre Gaming 5-14IOB6 (90RE0087PB) - 512GB M.2 PCIe + 2TB HDD,5590.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560
ASUS ROG Strix GL10CS-PL145AT - 1TB M.2 PCIe + 1TB HDD | 16GB,4049.0,"i5-9400F (2.9 GHz, 4.1 GHz Turbo, 9 MB Cache, 65W)",GeForce GTX 1650,Intel B360
Lenovo Legion T5-26IOB6 (90RT00C4PL) - 512GB M.2 PCIe + 1TB HDD | Windows 11 Home,5690.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560
Lenovo IdeaCentre Gaming 5-14IOB6 (90RE0087PB) - 512GB M.2 PCIe + 2TB HDD | 32GB,5990.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560
ASUS ROG Strix GL10CS-PL159T - 1TB SSD | 32GB,4149.0,"i5-9400F (2.9 GHz, 4.1 GHz Turbo, 9 MB Cache, 65W)",GeForce GTX 1650,Intel B360
ASUS ROG Strix GL10CS-PL145AT - 500GB M.2 PCIe + 1TB HDD,3699.0,"i5-9400F (2.9 GHz, 4.1 GHz Turbo, 9 MB Cache, 65W)",GeForce GTX 1650,Intel B360
Lenovo IdeaCentre Gaming 5-14IOB6 (90RE0087PB) - 512GB M.2 PCIe + 1TB HDD | 32GB,5790.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560
ASUS ROG Huracan G21CN-D-PL003AT - 500GB M.2 PCie + 1TB HDD,4149.0,"i5-9400F (2.9 GHz, 4.1 GHz Turbo, 9 MB Cache, 65W)",GeForce GTX 1660 Ti,Intel H370
Lenovo Legion T5-26IOB6 (90RT00C4PL) - 512GB M.2 PCIe + 1TB HDD,5190.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560
Komputronik Infinity X512 [N7],7890.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ROG STRIX B660-I GAMING WIFI)
Komputronik Infinity X512 [N6],8290.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ROG STRIX B660-I GAMING WIFI)
Komputronik Infinity X510 [M1],3999.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1660 SUPER,Intel H410
Komputronik Infinity X511 [J2],5990.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Asus B560M-A)
Komputronik Infinity X510 [N2],3999.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0)
Komputronik Infinity X510 [N1],3299.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0)
Komputronik Infinity X511 [F2],4399.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce GTX 1650,Intel H510  (Asus H510M-D)
Komputronik Ultimate X712 [B4],9190.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X312 [A2],3999.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",GeForce GTX 1650,Intel H610  (ASUS PRIME H610M-E D4)
Komputronik Infinity X312 [D2],5190.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",Geforce RTX 3060,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X300 [B2],3499.0,"i3-10100F (3.60 GHz, 4.30 GHz Turbo, 6 MB Cache, 65W)",GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0)
Komputronik Infinity X512 [D4],4990.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
Komputronik Infinity R550 [M2],6490.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 AORUS ELITE V2)
Komputronik Infinity X512 [B2],5490.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3050,Intel H610  (ASUS PRIME H610M-E D4)
Komputronik Infinity X512 [E2],6490.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A WIFI D4)
Komputronik Infinity X510 [M2],4999.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1660 SUPER,Intel H410
Komputronik Powered by ASUS [E1],3499.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650  (ASUS GeForce GTX 1650),Intel H410  (ASUS PRIME H410M-K R2.0)
Komputronik Infinity X312 [C2],4890.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",Geforce RTX 3050,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X511 [N1],5290.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M DS3H V2)
Komputronik Infinity X511 [M1],4499.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3050,Intel B560  (Gigabyte B560M DS3H V2)
Komputronik Infinity X500 [AX4],4499.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650,Intel H510  (Asus H510M-A)
Komputronik Infinity X512 [E7],7290.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A WIFI D4)
Komputronik Infinity X512 [M2],8190.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity X510 [S3],4099.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650,Intel H510  (ASUS PRIME H510M-E)
Komputronik Infinity X512 [J8],6990.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (Gigabyte B660M DS3H AX DDR4)
Komputronik Infinity X512 [K3],7190.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X511 [K5],6190.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (MSI B560-A PRO)
Komputronik Infinity X511 [J5],6190.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Asus B560M-A)
Komputronik Infinity X512 [M6],8490.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity X512 [F3],5790.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3050,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X511 [N4],6790.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M DS3H V2)
Komputronik Infinity X511 [N6],6490.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M DS3H V2)
Komputronik Infinity X511 [J4],6690.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Asus B560M-A)
Komputronik Infinity X511 [J7],6490.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Asus B560M-A)
Komputronik Ultimate R750 [D2],10990.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Radeon RX 6700 XT,AMD B550  (ASUS ROG STRIX B550-E GAMING)
Komputronik Infinity X510 [P3],4899.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3050,Intel H470  (ASUS PRIME H410M-K R2.0)
Lenovo Legion T5-26IOB6 (90RT00SLPL),7099.0,"i7-11700F (2.5 GHz, 4.9 GHz Turbo, 16MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B560
Komputronik Infinity R550 [F2],6690.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060  (Gigabyte GeForce RTX 3060 Gaming 12GB),AMD B550  (Gigabyte B550 Aorus Elite V2)
Komputronik Infinity X512 [D7],4299.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X511 [F1],3499.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce GTX 1650,Intel H510  (Asus H510M-D)
Komputronik Infinity X511 [F3],3499.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce GTX 1650,Intel H510  (Asus H510M-D)
Komputronik Infinity X711 [D2],8790.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",Geforce RTX 3060,Intel Z590
Lenovo Legion T5-26IOB6 (90RT00S9PL),5099.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B560
Komputronik Infinity LC-900 [J02],28490.0,"i9-12900KS (3.4 GHz, 5.5 GHz Turbo, 30MB Cache, 150W)",GeForce RTX 3080 Ti,Intel Z690
Komputronik Infinity X511 [F4],4799.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce GTX 1650,Intel H510  (Asus H510M-D)
Lenovo Legion T5-26IOB6 (90RT00CDPL),5999.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B560
Komputronik Ultimate X712 [C4],10990.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3070 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X312 [B2],4199.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X512 [D1],4299.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X712 [A2],9990.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3060 Ti,Intel Z690  (Asus Z690-P WIFI D4)
Komputronik Infinity X512 [F2],5890.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3050,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X510 [T2],5490.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560  (ASUS PRIME B560M-A)
ASUS ROG Strix G10DK-R5600X111W,5199.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550
Acer Nitro 50 (DG.E2DEP.00P),4399.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B560
Komputronik Infinity X510 [K1],5290.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M Aorus Elite)
Komputronik Infinity X511 [J1],5290.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Asus B560M-A)
Komputronik Infinity X511 [N2],5790.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M DS3H V2)
Komputronik Infinity X510 [K2],5690.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M Aorus Elite)
Komputronik IEM X912 [A2],20990.0,"i9-12900KF (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090,Intel Z690  (ASUS ROG STRIX Z690-F GAMING WIFI)
Komputronik Infinity X300 [B1],3399.0,"i3-10100F (3.60 GHz, 4.30 GHz Turbo, 6 MB Cache, 65W)",GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0)
MSI Creator P50 11TC-004EU - biały,5299.0,"i5-11400 (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560
Komputronik Infinity X512 [F1],4990.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3050,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X312 [C4],5990.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",Geforce RTX 3050,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X511 [F5],4399.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce GTX 1650,Intel H510  (Asus H510M-D)
Komputronik Infinity X510 [N4],4599.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0)
Komputronik Infinity X510 [F2],4990.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce RTX 2060,Intel B560  (Gigabyte B560M DS3H)
Lenovo Legion T5-26IOB6 (90RT00SJPL),5999.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B560
Komputronik Infinity X711 [B1],7990.0,"i7-11700KF (3.6 GHz, 5.0 GHz Turbo, 16MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z590  (Gigabyte Z590 Gaming X)
ASUS ROG Strix G15DK-R5800X2190,6599.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
ASUS ROG Strix G15DK-R5800X340W,6999.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
Komputronik Infinity X512 [D5],4499.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X510 [N3],3499.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0)
Komputronik Infinity X511 [F6],4699.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce GTX 1650,Intel H510  (Asus H510M-D)
Komputronik Infinity X511 [M2],4990.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3050,Intel B560  (Gigabyte B560M DS3H V2)
Komputronik Infinity X300 [C1],3399.0,"i3-10100F (3.60 GHz, 4.30 GHz Turbo, 6 MB Cache, 65W)",GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0)
Komputronik Infinity X312 [B1],3699.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
